match,date,team name,,Given run,,Over,Wicket,venue
1,28-11-2006,Zimbabwe,,31,,4,1,Sheikh Abu Naser Stadium
2,11/5/2013,Zimbabwe,,20,,4,2,Queen's sports club
3,12/5/2013,Zimbabwe,,21,,4,2,Queen's sports club
4,15-01-2016,Zimbabwe,,45,,4,1,Sheikh Abu Naser Stadium
5,17-01-2016,Zimbabwe,,26,,4,0,Sheikh Abu Naser Stadium
6,20-01-2016,Zimbabwe,,32,,4,3,Sheikh Abu Naser Stadium
7,22-01-2016,Zimbabwe,,35,,4,1,Sheikh Abu Naser Stadium
8,18-09-2007,Srilanka,,22,,3,1,Wanderers stadium
9,12/2/2014,Srilanka,,27,,4,2,Zahur Ahmed chowdhury stadium
10,14-02-2014,Srilanka,,8,,2,1,Zahur Ahmed chowdhury stadium
11,28-02-2016,Srilanka,,21,,4,2,shere bangla national cricket stadium
12,4/4/2017,Srilanka,,29,,3,0,R premadasa stadium
13,6/4/2017,Srilanka,,24,,4,3,R premadasa stadium
14,16-03-2018,Srilanka,,9,,2,1,R premadasa stadium
15,20-09-2007,Pakistan,,17,,4,0,Newlands
16,20-04-2008,Pakistan,,33,,4,1,National stadium (karachi)
17,1/5/2010,Pakistan,,27,,4,2,Drren sammy national cricket stadium
18,29-11-2011,Pakistan,,24,,4,2,shere bangla national cricket stadium
19,25-09-2012,Pakistan,,23,,4,0,Pallekele international cricket stadium
20,30-03-2014,Pakistan,,21,,4,1,shere bangla national cricket stadium
21,24-04-2015,Pakistan,,17,,4,1,shere bangla national cricket stadium
22,2/3/2016,Pakistan,,26,,4,0,shere bangla national cricket stadium
23,16-03-2016,Pakistan,,39,,4,0,Eden gardens
24,6/6/2009,India,,24,,4,1,Trent brigde
25,28-03-2014,India,,26,,4,0,shere bangla national cricket stadium
26,6/3/2016,India,,26,,3,0,shere bangla national cricket stadium
27,23-03-2016,India,,23,,2,1,M chinnaswamy 
28,18-03-2018,India,,28,,4,1,R premadasa stadium
29,26-09-2007,Australia,,15,,2,0,Newlands
30,5/5/2010,Australia,,24,,4,2,Kensington oval
31,1/4/2014,Australia,,30,,3,0,shere bangla national cricket stadium
32,21-03-2016,Australia,,27,,4,3,m chinnaswamy stadium
33,15-09-2015,South Africa,,28,,4,1,Newlands
34,5/1/2008,South Africa,,22,,3,1,Wanderers stadium
35,5/7/2015,South Africa,,24,,4,1,shere bangla national cricket stadium
36,7/7/2015,South Africa,,37,,4,0,shere bangla national cricket stadium
37,26-10-2017,South Africa,,28,,3,1,Mangaung oval
38,29-10-2017,South Africa,,22,,4,2,Senwes park
39,13-09-2007,West Indies,,34,,4,4,Wanderers stadium
40,2/8/2009,West Indies,,13,,4,1,warner park stadium
41,11/10/2011,West Indies,,25,,4,2,shere bangla national cricket stadium
42,25-03-2014,West Indies,,21,,3,1,shere bangla national cricket stadium
43,31-07-2018,West Indies,,27,,2.1,0,warner park stadium
44,4/8/2018,West Indies,,19,,4,2,central broward regional park
45,5/8/2018,West Indies,,22,,4,1,central broward regional park
46,17-12-2018,West Indies,,32,,3.4,0,sylhet
47,20-12-2018,West Indies,,20,,4,5,shere bangla national cricket stadium
48,22-12-2018,West Indies,,37,,4,3,shere bangla national cricket stadium
49,3/2/2010,New Zealand,,16,,2,0,Seddon park
50,21-09-2012,New Zealand,,40,,4,0,Pallekele international cricket stadium
51,20-03-2016,New Zealand,,33,,4,0,Eden gardens
52,3/1/2017,New Zealand,,30,,4,1,Mclean park
53,6/1/2017,New Zealand,,32,,4,1,Bay oval
54,8/1/2017,New Zealand,,22,,4,0,Bay oval
55,8/6/2009,Ireland,,33,,4,1,Trent brigde
56,18-07-2012,Ireland,,26,,4,0,Civil service cricket club
57,20-07-2012,Ireland,,31,,4,0,Civil service cricket club
58,21-07-2012,Ireland,,28,,4,1,Civil service cricket club
59,16-03-2014,Afghanistan,,8,,3.1,3,shere bangla national cricket stadium
60,3/6/2018,Afghanistan,,19,,4,1,rajiv gadhi international cricket stadium
61,5/6/2018,Afghanistan,,37,,4,0,rajiv gadhi international cricket stadium
62,7/6/2018,Afghanistan,,16,,4,1,rajiv gadhi international cricket stadium
63,25-07-2012,netherlands,,23,,4,2,sport park westvliet
64,26-07-2012,netherlands,,28,,4,2,sport park westvliet
65,9/3/2016,netherlands,,29,,4,2,Himachal pradesh cricket association stadium
66,24-07-2012,scotland,,37,,4,1,sport park westvliet
67,26-02-2016,united Arab emirate,,20,,3.4,2,Zahur Ahmed chowdhury stadium
68,18-03-2014,nepal,,22,,4,0,Zahur Ahmed chowdhury stadium
69,20-03-2016,Hong Kong,,9,,4,3,Zahur Ahmed chowdhury stadium
70,13-03-2016,Oman,,15,,3,4,Himachal pradesh cricket association stadium
