match,date,,Team_name,,run,,venue
1,28-11-2006,,Zimbabwe,,26,,Sheikh Abu naser stadium 
2,11/5/2013,,Zimbabwe,,65,,Queen's sports club
3,12/5/2013,,Zimbabwe,,40,,Queen's sports club
4,15-01-2016,,Zimbabwe,,20,,Sheikh Abu naser stadium 
5,17-01-2016,,Zimbabwe,,27,,Sheikh Abu naser stadium 
6,20-01-2016,,Zimbabwe,,3,,Sheikh Abu naser stadium 
7,24-01-2016,,Zimbabwe,,4,,Sheikh Abu naser stadium 
8,18-09-2007,,Srilanka,,18,,wanderers stadium
9,12/2/2014,,Srilanka,,26,,zahur ahmed chowdhury stadium
10,14-02-2014,,Srilanka,,12,,zahur ahmed chowdhury stadium
11,28-02-2016,,Srilanka,,32,,shere bangla national cricket stadium
12,4/4/2017,,Srilanka,,11,,R premadasa stadium
13,6/4/2017,,Srilanka,,38,,R premadasa stadium
14,16-03-2018,,Srilanka,,7,,R premadasa stadium
15,20-09-2007,,Pakistan,,1,,Newlands
16,20-04-2008,,Pakistan,,0,,National stadium (karachi)
17,1/5/2010,,Pakistan,,47,,Darren sammy national stadium
18,29-11-2011,,Pakistan,,7,,shere bangla national cricket stadium
19,25-09-2012,,Pakistan,,84,,Pallekele international cricket stadium
20,3/3/2014,,Pakistan,,38,,shere bangla national cricket stadium
21,24-04-2015,,Pakistan,,57,,shere bangla national cricket stadium
22,2/3/2016,,Pakistan,,8,,shere bangla national cricket stadium
23,16-03-2016,,Pakistan,,50,,Eden gardens
24,6/6/2009,,India,,8,,trent brigde
25,6/3/2014,,India,,22,,M chinnawamy stadium
26,28/03/2014,,India,,1,,shere bangla national cricket stadium
27,23-03-2016,,India,,3,,shere bangla national cricket stadium
28,18-03-2018,,India,,7,,R premadasa stadium
29,16-09-2007,,Australia,,16,,Newlands
30,5/5/2010,,Australia,,28,,Kensinfton oval
31,1/4/2014,,Australia,,66,,shere bangla national cricket stadium
32,21-03-2016,,Australia,,33,,M chinnawamy stadium
33,15-09-2007,,South Africa,,19,,Newlands
34,5/11/2008,,South Africa,,4,,wanderers stadium
35,5/7/2015,,South Africa,,26,,shere bangla national cricket stadium
36,7/7/2015,,South Africa,,8,,shere bangla national cricket stadium
37,26-10-2017,,South Africa,,13,,Mangaung oval
38,29-10-2017,,South Africa,,2,,Senwes park
39,13-09-2007,,West Indies,,13,,wanderers stadium
40,2/8/2009,,West Indies,,17,,Warner Park
41,11/10/2011,,West Indies,,0,,shere bangla national cricket stadium
42,25-03-2014,,West Indies,,0,,shere bangla national cricket stadium
43,31-07-2018,,West Indies,,19,,Warner Park
44,4/8/2018,,West Indies,,60,,Central Broward regional park
45,5/8/2018,,West Indies,,24,,Central Broward regional park
46,17-12-2018,,West Indies,,61,,Sylhet Stadium
47,20-12-2018,,West Indies,,42,,shere bangla national cricket stadium
48,8/6/2009,,Ireland,,7,,trent brigde
49,18-07-2012,,Ireland,,57,,Civil Service cricket club
50,20-07-2018,,Ireland,,11,,Civil Service cricket club
51,21-07-2018,,Ireland,,3,,Civil Service cricket club
52,3/2/2010,,New Zealand,,3,,Seddon park
53,21-09-2012,,New Zealand,,11,,Pallekele international cricket stadium
54,26-03-2016,,New Zealand,,2,,Eden gardens
55,3/1/2017,,New Zealand,,14,,Mclean park
56,6/1/2017,,New Zealand,,1,,Bay oval
57,8/1/2017,,New Zealand,,41,,Bay oval
58,16-03-2014,,Afghanistan,,10,,shere bangla national cricket stadium
59,3/6/2018,,Afghanistan,,15,,Rajiv gandhi international cricket stadium
60,5/6/2018,,Afghanistan,,3,,Rajiv gandhi international cricket stadium
61,7/6/2018,,Afghanistan,,10,,Rajiv gandhi international cricket stadium
62,25-07-2012,,Netherlands,,12,,Sport park westvliet
63,26-07-2012,,Netherlands,,0,,Sport park westvliet
64,9/3/2016,,Netherlands,,5,,Himachal pradesh ceicket association stadium
65,24-07-2012,,Scotland,,1,,Sport park westvliet
66,13-03-2016,,Oman,,17,,Himachal pradesh ceicket association stadium
67,18-03-2014,,Nepal,,37,,zahur ahmed chowdhury stadium
68,26-02-2016,,United Arab Emirate,,13,,shere bangla national cricket stadium
69,20-03-2014,,Hong Kong ,,34,,zahur ahmed chowdhury stadium
